Code,Name,Geography,Area (sq km),Estimated Population mid-2021,2021 people per sq. km,Estimated Population mid-2011,2011 people per sq. km,Estimated Population mid-2001,2001 people per sq. km
K02000001,UNITED KINGDOM,Country,242.740.870,67.026.292,276,63.285.145,261,59.113.016,244
K03000001,GREAT BRITAIN,Country,228.947.919,65.121.729,284,61.470.827,268,57.424.178,251
K04000001,ENGLAND AND WALES,Country,151.046.988,59.641.829,395,56.170.927,372,52.359.978,347
E92000001,ENGLAND,Country,130.310.470,56.536.419,434,53.107.169,408,49.449.746,379
E12000001,NORTH EAST,Region,8.580.786,2.646.772,308,2.596.441,303,2.540.090,296
E06000047,County Durham,Unitary Authority,2.225.861,521.346,234,512.994,230,493.678,222
E06000005,Darlington,Unitary Authority,197.478,108.222,548,105.584,535,97.894,496
E06000001,Hartlepool,Unitary Authority,93.717,92.571,988,92.088,983,90.152,962
E06000002,Middlesbrough,Unitary Authority,53.882,143.734,2668,138.368,2568,141.233,2621
E06000057,Northumberland,Unitary Authority,5.019.898,321.558,64,316.278,63,307.363,61
E06000003,Redcar and Cleveland,Unitary Authority,245.07,136.616,557,135.164,552,139.159,568
E06000004,Stockton-on-Tees,Unitary Authority,204.933,197.03,961,191.824,936,183.795,897
E11000007,Tyne and Wear (Met County),Metropolitan County,539.948,1.125.695,2085,1.104.141,2045,1.086.816,2013
E08000037,Gateshead,Metropolitan District,142.339,196.154,1378,200.349,1408,191.178,1343
E08000021,Newcastle upon Tyne,Metropolitan District,113.452,298.264,2629,279.092,2460,266.241,2347
E08000022,North Tyneside,Metropolitan District,82.301,209.151,2541,201.206,2445,192.003,2333
E08000023,South Tyneside,Metropolitan District,64.421,147.915,2296,148.164,2300,152.793,2372
E08000024,Sunderland,Metropolitan District,137.436,274.211,1995,275.33,2003,284.601,2071
E12000002,NORTH WEST,Region,14.108.007,7.422.295,526,7.055.961,500,6.772.985,480
E06000008,Blackburn with Darwen,Unitary Authority,137.022,154.922,1131,147.657,1078,138.453,1010
E06000009,Blackpool,Unitary Authority,34.871,140.954,4042,142.08,4074,142.27,4080
E06000049,Cheshire East,Unitary Authority,1.166.358,400.528,343,370.736,318,352.104,302
E06000050,Cheshire West and Chester,Unitary Authority,920.018,357.699,389,329.526,358,322.154,350
E06000006,Halton,Unitary Authority,79.084,128.577,1626,125.722,1590,118.559,1499
E06000007,Warrington,Unitary Authority,180.628,211.227,1169,202.709,1122,191.202,1059
E10000006,Cumbria,County,6.767.947,500.821,74,499.817,74,487.795,72
E07000026,Allerdale,Non-metropolitan District,1.242.150,96.384,78,96.444,78,93.544,75
E07000027,Barrow-in-Furness,Non-metropolitan District,77.897,67.375,865,69.056,887,71.96,924
E07000028,Carlisle,Non-metropolitan District,1.038.297,110.255,106,107.475,104,100.764,97
E07000029,Copeland,Non-metropolitan District,731.761,67.176,92,70.627,97,69.251,95
E07000030,Eden,Non-metropolitan District,2.142.376,54.955,26,52.502,25,49.879,23
E07000031,South Lakeland,Non-metropolitan District,1.535.466,104.676,68,103.713,68,102.397,67
E11000001,Greater Manchester (Met County),Metropolitan County,1.275.982,2.868.387,2248,2.685.386,2105,2.516.096,1972
